단어,명사,관형사 (-é),동사 (-À),부사 (-ùi),"조사, 연결","접사, 어미",비고,어원
aravîta,"글자, 문자",,,,,,,"인명, 윤아라"
ärge,년(年),,,,,,,"영어, year"
argü,아래,,,,,,,"자소크어, ügra"
asas,망치; 망치질,,망치질하다,,,,,선험
asham,적음,적은,,,,,,"자소크어, masha"
ashaque,"온도, 기온, 뜨거운 정도, 열",,,,,,,
ashasosakat,송아지,,,,,,,
ashasosaque,,젊은,,,,,,
ashta,별(星),,,,,,,"영어, asterion"
äsias,느낌,느끼는,느끼다,,,,,
äsiasuque,,느끼는,느껴지다,,,,,
asmo,모자,,,,,,,
asmotiskie,곡절 부호 (â),,,,,,,
ast,선택,선택하는,선택하다,,,,,
ät,"무엇, 무언가",기다리는,기다리다,,,,,"영어, what"
atrüsnie,"거짓, 틀림","거짓의, 그릇된",,,,,,"자소크어, insürta"
atrüsninoh,,틀림없는,,,,,,
atrüsninsürta,"진짜처럼 보이는 거짓, 누구나가 거짓이라는 걸 알고 있지만 사실을 말하는 것, 또는 그 말",진짜처럼 보이는 거짓을 말하는; 자조적인,진짜인 거짓을 말하다,,,,“그의 조국은 침략당했지만 행복했다. 새로운 조국을 얻었기 때문이다.”는 진짜처럼 보이는 거짓이다.,"자소크어, atrüsni·insürta"
atrüsnuat,거짓말,,거짓말을 하다,,,,,"자소크어, atrüsnie·uat"
av,"사양, 양보","사양하는, 양보하는","사양하다, 양보하다",,,,,"일본어, あ"
avnamyúrgorisque,사양격,,,,,,자소크어 명사의 격,"자소크어, av·namyúrgorisque"
az,,,,,-로써,,,"영어, as"
äz,"분(分, minute)",,,,,,,선험
camis,종이,,,,,,,"일본어, 紙"
caps,소란,"소란스러운, 시끄러운","시끄럽게 하다, 소란스러운 일을 일으키다",,,,,"한국어, 짭새"
cäv,,흔들리는,"흔들리다, 떨리다",,,,,
ce,"6, 여섯, 육",,,,,,,선험
cesem,,가벼운,,가볍게,,,,"자소크어, mesec"
cetal,6월,,,,,,,"자소크어, ce·tal"
ciat,,낮은,,,,,,
ciatashaque,,시원한,,,,,,
ciragag,"닭(chicken), =ciragagéfudi",,,,,,,"영어, chicken"
ciragagéfudie,"치킨(음식), 통닭",,,,,,,
ciragagol,"달걀, 닭알, 계란",,,,,,,
civùquador,개발 도구,,,,,,,
civuque,개발,,,,,,,
codih,,쉬운,,쉽게,,,,"자소크어, hidoc"
conih,어둠,,,,,,,"자소크어, hinoc"
cúnad,관리,,"가꾸다, 관리하다",,,,,
cúnafashas,"관리소, 관리 업무를 도맡아 하는 공간",,,,,,,
da,,,,,"-이, -가",,,"한국어, -가"
dadie,,거대한,,,,,,
daditutayúr,대륙,,,,,,,"자소크어, dadie·tutayúr"
dadivatomoque,파도,,,,,,,
dadivator,"바다, 해양",,,,,,,
dadivatoralivaie,"해산물, 바다에 사는 동물",,,,,,,
dadivatorickos,해변,,,,,,,
daf,조(兆),,,,,,,선험
däf,"1^40, 정(正)",,,,,,,선험
daia,"읽기; 부름, 호출",읽는; 부르는,읽다; 부르다,,,,,선험
daiakom,로딩,,"로딩하다, 불러오다",,,,,
daibaque,,대박인,,,,,,
daishat,지렁이,,,,,,,"에탕, daicjat"
daks,수비,,방어하다; 저지하다,,,,,"자소크어, skad"
dann,,"아끼는, 소중한",아끼다,,,,,
dardar,,,,"점차, 점점, 차츰차츰",,,,"일본어, 段々"
darut,,가까운,,"직접, 직접적으로",,,,선험
daseque,디자인,,디자인하다,,,,,선험
dash,"저, 저것",,,,,,,"영어, that"
dashin,저 사람,,,,,,,
dasvút,파괴,,부수다,,,,,선험
daterma,습관,,,,,,,선험
dé,,,,,"-의, -한 (of)",,,"에스페란토, de"
degias,"포옹, 허그",안는,안다(包),,,,,선험
degiasùque,,안기는,안기다(包),,,,,
degro,,,,,"-도, -역시",,,"영어, degree"
degronamyúrgorisque,야격,,,,,,자소크어 명사의 격,"자소크어, degro·namyúrgorisque"
denam,,가능한,,,,,,선험
denamì,가능성,,,,,,,
depretia,해 질 녘; 무기력감,해 질 녘인; 무기력한,,,,,,
dequs,"데크; 작은 모임, 소모임",,,,,,,"영어, deck"
dev,개발,개발하는,개발하다,,,,,"영어, develop"
dia,그림,"그리는, 그림같은",그리다,,,,,"인명, nadia"
diavist,,그려주는,그려주다,,,,,"자소크어, dia·vist"
die,,,,,= dé y,,,
difashas,"이곳, 여기",,,,,,,"자소크어, dis·fashas"
dimerda,표준,,,,,,,선험
dines,"미션, 임무",,,,,,,선험
dino,소리,,,,,,,선험
dinofashas,노래방,,,,,,,
dinokrif,작곡,작곡하는,작곡하다,,,,,
dinokrifin,작곡가,,,,,,,
dinoronaldis,믹싱 작업,(소리가) 조화로운,"화성(和聲)하다, 소리를 덧붙이거나 섞어서 조화를 이루다",,,,,
diolindús,"메뉴, 메뉴판",,,,,,,"자소크어, dios·lindús"
diomoque,,해가는,"해감, 해나감",,,,,"자소크어, dios·moque"
dionoiz,,하기 싫어하는,"하기싫어함, 하기싫음",,,,,
diorna,,다른,,,,,,"자소크어, anroid"
diornaäsias,"괴리감, 이상함, 불안함",,,,,,,
diornain,"타인, 다른 사람",,,,,,,
diornâs,구별,구별하는,구별하다,,,,,
diornaskie,"다름, 차이",,,,,,,
diornuat,"방언, 사투리",,,,,,,"자소크어, diorna·uat"
dios,,하는,하다,,,,,"영어, do"
diosàd,,할 것인,할 것이다,,,,,
diosè,,한,했다,,,,,
diosìc,,하고 있는,하고 있다. 한다,,,,,
diosùquin,"하인, 집사; 노예 (존비중립)",,,,,,,
diovist,,해주는,해주다,,,,,
diovizash,,해보는,해보다,,,,,
dis,"이, 이것",이러한,이러하다,,,,,"영어, this"
disa,미래,,,,,,,
disatag,예상,예상하는,예상하다,,,,,
dise,"과거, 역사",,,,,,,
disetag,후회,후회하는,후회하다,,,,,
disic,오늘,,,,,,,
disie,"현재, 넓은 의미의 지금",,,,,,,
disin,이 사람,,,,,,,
disisosaque,"최근, 요즘, 요새",오늘날의,,,,,,
disosaque,"이제, 앞으로 (시간)",,,,,,,
dizozaque,지금,,,(ùi와 함께) 일시적으로; (단독으로) 이 때에,,,,
do,"어떤, 어느",,,어떻게,,,,
dofashas,"어디, 어느 곳",,,,,,,
doilah,집; 가정,가정적인,,,,,,
dokom,,지내는,"지내다, 살아오다",,,,,
doliahin,가족,,,,,,,
domarsh,,,,"왜, 어찌하여, 어째서",,,,
dos,"10, 열, 십",,,,,,,
dosfatal,14월 (내년 2월),,,,,,,
dosital,11월,,,,,,,
doslital,12월,,,,,,,
dosotal,13월 (내년 1월),,,,,,,
dostal,10월,,,,,,,
dot,,사는(生),살다,,,,,
dotika,,"몇몇의, 몇",,,,,,
doùsua,,,,(단독으로) 어쩌면,,,,
dovrie,,"불편한; 석연치 않은, 마음에 들지 않는; 찝찝한",,,,,,"러시아어, доброе"
dozikaämel,시오후키,,,,,,,
dozimicin,욕심 많은 광부,,,,,,,
dozimicinéstara,욕심 많은 광부 이야기,,,,,,,
dozimoga,"복수(複數), 여러 개가 있는 모양",여러 개가 있는,,,,,,
dozimogaport,다항식(수학),,,,,,,"자소크어, dozimoga·port"
dozimogayúrgo,"복수어, 복수명사",,,,,,,
dozir,,욕심 많은,,,,,,
dozozaque,"언젠가, 언제",,,,,,,
draviàs,상징; 증명,,"나타내다, 보이게 하다, 보여주다",,,,,
dravie,등장,,나타나다,,,,,
drēgon,드래곤,,,,,,,
drivash,,운전하는,운전하다,,,,,
drivashin,운전자,,,,,,,
duger,,괜찮은,,,,,,
duiros,실수,실수하는,실수하다,,,,,
duol,위로(癒),위로하는,위로하다,,,,,
dürzia,"뜻, 의미","뜻하는, 의미하는","뜻하다, 의미하다",,,,,
dürziâs,,"정하는, 정의하는","정하다, 정의하다",,,,,
dürziatomaravîta,절의문자(x),,,,,,,
duthis,,,굽다,,,,,
é,,,,,"-의, -한",,,
ecàs,업보청산,,,,,,,"자소크어, ecú-às"
ecú,"운(運, luck)",운이 좋은,,,,,,
eglika,영어(지역중립어),,,,,,,"영어, english"
eledraviàs,"꺾쇠 표시(운명표), <, >",,,,,,,"자소크어, elen·draviàs"
elen,운명,,,,,,,
elifashas,은행,,,,,,,
eliluo,경제학,,,,,,경제 구조와 그 메타적인 이해를 연구하는 학문. 실질경제학(elitika)과는 다르다.,"자소크어, elit·luo"
elit,돈,돈이 많은,,,,,,"슈텔로 경제 프로토콜, ē"
elitag,자본주의,자본주의적인,,,,,,
elitika,실질경제학,,,,,,현재 경제 구조에서 어떻게 경제 구조를 활용하는지에 대한 학문. 공인중개사 등이 실질경제학자에 해당한다.,"자소크어, elit·ika"
engie,오렌지,,,,,,,"인명, Enji"
enifia,"부서, 관청(官廳)",,,,,,,
enim,반대,반대하는,"반대하다, 반(反)하다",,,,,
enos,용(龍),,,,,,,선험
epinär,곡괭이,,,,,,,
erasheniluin,철학자,,,,,,,
erasheniluo,철학,철학하는,철학하다,,,,,선험
erc,,,,아직,,,,
ereuv,왼쪽,,,,,,,
erneüsnoque,,똥같은,,,,,,
erucel,"강좌, 튜토리얼, 강의",,,,,,,
ezit,"금방, 곧",,,벌써,,,,
fa,"4, 넷, 사",,,,,,,
fahülien,4차원,,,,,,,
fakarommaque,콰르텟,,,,,,,
famiet,표창,,,,,,,
farum,달(천체),,,,,,,
faruminoc,달빛,,,,,,,
fashanamyúrgorisque,소격(所格),,,,,,자소크어 명사의 격,"자소크어, fashas·namyúrgorisque"
fashas,"장소, 곳",,,,,,,"에스페란토, plaĝo"
fataimúhivin,"선조보호자; 선조부모님, 오대조부모님",,,,,,,
fatal,4월,,,,,,,
fäva,복통,배가 아픈; 불편한,,,,,,
felosh,기쁨,,기뻐하다,,,,,"스페인어, feliz"
fera,얼굴,,,,,,,
fermú,철(원소),,,,,,,"라틴어, ferrum"
fermúvesh,제련,,제련하다,,,,,
firad,불,태우는,태우다,,,,,"영어, fire"
firadashalin,소방차,,,,,,,
firakrút,연기(燃氣),,훈연하다; 훈제하다,,,,,"자소크어, firad·krút"
fisharo,,공식(official),,,,,,
fiun,"전쟁, 싸움",싸우는,싸우다,,,,,
fiunador,무기,,,,,,,
fiunin,"장군, 선수",,,,,,,
fizalv,평화,평화로운,,,,,,
flago,,귀여운,,,,,,"영어, flamingo"
flukcosaque,일생,,,,,,,
flukom,,살아오는,살아오다,,,,,
flukt,"영혼, 혼령, 생명; 삶, 인생",살아있는,"생명이 있다, 살다",,,,,"양자역학, fluctlight"
fluvaisausentrah,"의식(意識), 정신(精神)",,,,,,,
fluvaisausentraniofashas,"데이터베이스; 의식보관소, 정신보관소",,,,,,"인간의 의식을 데이터화하여 보존할 제에, 그 의식을 보관하는 장소","자소크어, fluvaisausentrah·niofashas"
fogul,개구리,,,,,,,"슈텔로 은어, 뽀굴"
folœm,길이,(n-folœmé의 형태로) 길이가 n인,,,,,,
folœmalus,,짧은,,,,,,
folœmalusàs,요약,,요약하다,,,,,
folœsulah,,긴(長),,,,,,
fonod,뿔,,,,,,,
fontlan,,맛있는,,,,,,
fsalis,,웃게 하는,"웃게 하다, 웃기다",,,,,
fsalisùque,,웃는,웃다,,,,,
fsalisuvist,,,웃어주다,,,,,"자소크어, fsalisùque·vist"
ftidino,잔음 (ell[엘르] 같은 것),,,,,,,
ftie,나머지,남는,남다,,,,,
ftîksis,,남아있는,남아있다,,,,,
fudie,음식,,,,,,,"영어, food"
gäf,"재(載, 10^44)",,,,,,,
gaie,"10000, 만(萬)",,,,,,,
gäinnamyúrgorisque,종착격,,,,,,자소크어 명사의 격,"자소크어, gäit·namyúrgorisque"
gäit,종료,"종료하는, 끝나는, 멈춘","종료하다, 끝나다, 멈추다",,,,,"자소크어, tiäg"
gaitevo,,,,가끔,,,,
gamacamis,"원서, 지원서, 신청서",,,,,,,
gaman,,원하는,원하다,,,,,"일본어, 我慢"
gantika,토끼,,,,,,,
gaque,,"엄격한, 실수하지 않는",실수하지 않고 정확하게 일을 처리하다,엄격하게,,,,
gat,감성,,,,,,,
gaúnie,익숙함,익숙한,,,,,,
genes,평균; 기대치,,,,,,,
geshtal,전기,,,,,,,"독일어, Gestalt"
geshtalinoc,전등,,,,,,,
geshtaluat,전화,,,,,,,"자소크어, geshtal·uat"
geshtaluatin,"전화기, 휴대폰",,,,,,,
gido,,어두운,,,,,,
gie,,,,,-에게,,,
gifas,,,,,-에게는,,,
girod,,듣는,듣다,,,,,
girovizash,,들어보는,"(소리를, 얘기를) 들어보다",,,,,
gistarie,거리(距離),,,,,,,
gitrudiska,귀찮음,귀찮은,,,,,,
gizúque,,"당(當)하는, 수준에 맞는","당(當)하다, 수준에 맞다",,,,,"스텔로 은어, 끄적"
glakrif,프로그래밍,프로그래밍하는,프로그래밍하다,,,,,
glakrifin,"프로그래머, 개발자",,,,,,,
glas,프로그램,,,,,,,
glish,,나는(飛),날다,,,,,"영어, glide"
glishàs,,,"날리다, 던지다",,,,,
glishin,비행기,,,,,,,
godravias,"45도 회전해있는 정사각형, 마름모, ◇",,,,,,,"자소크어, Goh·draviàs"
godrish,독,,,,,,,
gol,"알(egg, 卵)",,,,,,,
golis,"언니, 누나",,,,,,,
golú,금,,,,,,,
gom,고무,,,,,,,
gor,,위하는,위하다(for),"위해, 위해서",,,,
gotot,,,중성화하다,,,,,
grosgesdaie,,가망있는,,,,,,"슈텔로 은어, 그렇겠다"
grum,위치,,,,,,,
grummatikapota,자릿수,,,,,,,"자소크어, grum·matikapota"
grün,"초록색, 녹색",,,,,,,"독일어, grün"
grüpradol,청록색,,,,,,,
gugl,검색,,검색하다,,,,,
ha,,,,"때문에, 의해, 인해",,,,
halupúr,미분; 미분계수,,미분하다,,,,,
halurúp,적분,,적분하다,,,,,
halus,,작은,,,,,,"자소크어, sulah"
halusat,미시세계(물리학),,,,,,,
halusirosh,"방금, 아까, 조금 전(시간)",,,,,,,
hanarisanroid,"자신에 대한 믿음, 자신감",,,,,,,"자소크어, has·narisanroid"
hanökrif,창업,창업하는,창업하다,,,,,
hanös,"일, 사건; 현상",,,,,,,
hanür,"밥, 주식(主食)",,,,,,,
hanürunas,,배고픈,,,,,,
hanüsiros,"디저트, 후식",,,,,,,
harcamoque,,,"놀러 가다, 놀러가다",,,,,"자소크어, harcat·moque"
harcat,,,"(주로 밖에서, 활동적으로) 놀다",,,,,
hârg,,단(甘),,,,,,
harnagirod,,,harnav해서 듣다,,,,,"자소크어, harnav·girod"
harnav,,,"어떠한 내용을 상정하거나 전제했다고 가정하다, 합의하지 않았지만 암묵적으로 그러하다고 정하다",,,,,"인명, Harunabi"
harnavuat,,,harnav해서 말하다,,,,,"자소크어, harnav·uat"
has,자신,,,,,,,
hashalin,자동차,,,,,,,
hâshtain,사탕,,,,,,,
haskaämel,"자위, 수음",,,,,,,
hat,맛,,,,,,,
hazidiorna,,"특별한, 비범한",,,,,,
hazidiornaskie,"특이성, 특이점",,,,,,,
hazie,,특(特)한,,,,,,
hep,대안,"대신하는, 보조적인",대신하다,,,,,"인명, HE_P_"
hepyúrgo,"대어(대명사, 대동사, 조사)",,,,,,,
hetem,분실,잃는,잃다,,,,,
hic,"날, 일(日)",,,"하루종일, 종일",,,,"일본어, 日（ひ）"
hickos,"끝 부분, 구석; 변(수학)",,,,,,,
hickosinoc,박명(薄明),,,,,,,"자소크어, hickos·hinoc"
hidoc,,어려운,,,,,,"일본어, ひどい"
hidocìe,"난이도, 어려운 정도",,,,,,,
higarú,계절,,,,,,,
hikos,"옆; 근처, 주변 환경; 곁",,,,,,,
himmoga,날씨,,,,,,,"자소크어, hic·moga"
hinoc,빛; 색,,,,,,,"일본어, 光"
hinocésohülien,빛의 3원색,,,,,,,
hinotemp,,빛나는,빛나다,,,,,
his,"그, 그것",,,,,,,"영어, his"
hisin,그 사람,,,,,,,
hisquin,기타(其他),,,,,,,
hoire,"도시, 마을",,,,,,,
horco,"지, 그(비칭)",,,,,,3인칭 단수,
horcos,"지네들, 그들(비칭)",,,,,,3인칭 복수,
hotâr,새벽,,,,,,,"일본어, 蛍"
hoú,사이,,,,,,,
hoúmatika,대수학,,,,,,,"자소크어, hoú·matika"
hoúyúrgo,"관계언, 조사",,,,,,,
hoúzur,연산,,,,,,,"자소크어, hoú·zur"
hoze,장미,,,,,,,
hülielofanis,순수학문,,,,,,,
hülien,"기본, 기초, 기반, 기저",,,"원래, 원래대로라면",,,,
humit,"거리, 길",,,,,,,
ifor,주먹,,,,,,,
ihic,하루,,,,,,,
ika,(특히 결과와 실무를 중심적으로 다루는) 학문,,,,,,,"선험, matika"
ikain,실무학자,,,,,,,"자소크어, ika·quorsin"
ikaluo,학문,,,,,,,"자소크어, matika·erasheniluo"
iksimarsh,"존재 이유, 의의",,,,,,,
iksis,,"있는, 존재하는","있다, 존재하다",,,,,
iksiskie,"존재, 실재하는 것",,,,,,,
il,"5, 다섯, 오",,,,,,,
ilets,불행,불행한,,,,,,
iltal,5월,,,,,,,
imiet,창,,,,,,,
inar,"머리, 두부(頭部)",,,,,,,
inatailes,"머리카락, 머리털, 두발",,,,,,,
inatantiflukcozaque,"태어난 때, 태어날 때, 태어난 때",,,,,,,
inatantiflukthic,생일,,,,,,,
inatantilofafashas,초등학교,,,,,,,
inatantilofafashasin,초등학생,,,,,,,
inatantish,처음,,,,,,,
inatantishozaque,"태어난 때, 출생의 순간, 태어났을 때",,,,,,,
indrome,술,마시는,마시다(飮),,,,,
inel,,떨어지는(落),떨어지다(落),,,,,"차넬라, inela"
ineshareika,관철,관철하는,관철하다,,,,,"자소크어, erasheniluo"
inofashas,"상점, 가게",,,,,,,
inos,,,사다(買),,,,,
insürta,"사실, 진실, 진짜, 진리, 실제, 참, 정답",옳은,맞다,,,,[대화] 그러고 보니까,선험
insürtacamis,답지,,,,,,,"자소크어, insürta·camis"
insürtamatikapota,실수(수학),,,,,,,"자소크어, insürta·matikapota"
insürtaquê,참깨,,,,,,,"자소크어, insürta·quê"
insürtaquepamp,참깨빵,,,,,,,"자소크어, insürtaquê·pamp"
insürtatrüsnie,"거짓 진실, 제3의 거짓말; 속임수",유리한 방식으로 대화를 이끌어가는,"거짓처럼 들리는 진실을 말하다, 제3의 유형으로 거짓말을 치다; 자신에게 유리한 방식으로 대화를 이끌어가다",,,,“밥 먹었어?”라는 질문에 “부엌에 김치찌개 있더라구요”라고 말하는 것은 거짓 진실을 말한 것이다. 이 말은 김치찌개를 먹었다는 의미로 해석될 수 있기 때문이다.,"자소크어, insürta·atrüsnie"
insürtavaisausentrah,덕(德); 알짜힘(물리학),덕이 있는,,,,,,"자소크어, insürta·vaisausentrah"
insürtiksis,,실재하는,실재하는,,,,,"자소크어, insürta·iksis"
iomvesh,이온화,이온화하는,이온화하다,,,,,
ironaris,물음,묻는,묻다(問),,,,,"자소크어, irosh·naris"
irosh,"전, 예전",예전,,,,,,
iroshalonin,"전 애인, 전 연인",,,,,,,
irvod,,"편안한, 편한; 명쾌한",,,,,,"자소크어, dovri"
itar,보정,맞추는,맞추다,,,,,
ivanecoshin,성소수자,,,,,,,
ivash,성별,,,,,,,
ivat,준비,준비하는,준비하다,,,,,
ivatùque,,"준비되는, 준비된",준비되다,,,,,
iveque,모래,,,,,,,
iz,,"인 (是, being)",이다 (是; to be),,,,,"영어, is"
izah,"보통, 평범","보통의, 평범한",,"보편적으로, 평범하게",,,,
izahanroid,,,,"평소와 같이, 특별하지 않게",,,,
kaäd,,엉성한,,,,,,
kaämel,오르가즘,오르가즘을 느끼는,오르가즘을 느끼다,,,,,"프랑스어, caramel"
kaämelator,정액,,,,,,,
kadadoilah,도서관,,,,,,,
kadas,"책, 도서",,,,,,,선험
kafcie,눈(目),,,,,,,선험
kafcinema,시선,,,,,,,
kafcivator,눈물,,,,,,,
kafe,커피,,,,,,,"프랑스어, café"
kafelate,카페라떼,,,,,,,
kaif,,귀찮은,,,,,,
kano,눈(雪),,,,,,,"인명, 雪ノ下雪乃"
kanoquorsin,눈사람,,,,,,,
kaquat,가사(歌詞),,,,,,,
karma,업보,,,,,,,"산스크리트어, कर्म"
karodino,"음악, 곡",,,,,,,
karodinouagiz,편곡,편곡하는,편곡하다,,,,,
karodinouagizin,편곡가,,,,,,,
karodios,,"함께하는, 같이하는, 협업하는; 겸하는","함께하다, 같이하다, 협업하다; 겸하다",,,,,
karommaque,합창,,,,,,,
karonatio,"연방국, 연합국",,,,,,,
karop,,,,"함께, 같이; 동시에",,,,
karoskie,"연합, 협력",,,,,,,"자소크어, karop·skie"
karoskinamyúrgorisque,수반격,,,,,,자소크어 명사의 격,"자소크어, karoskie·namyúrgorisque"
karotrend,약속,약속하는,약속하다,,,,,
kat,"소(牛, cow)",,,,,,,
kav,,"관련된, 관한, 대한","관련하다, 관하다(關), 대하다(對)",,,,,
kemîka,화학,,,,,,,
kimes,"언론, 기사(article)","언론, 기사(article)",,,,,,
kiskokakiksaktakomkos,잰말놀이 문장,,,,,,,
kiskokakiksaktas,잰말놀이,발음하기 어려운,,,,,,
kitimäf,남극,,,,,,,"자소크어, kitish·mäf"
kitimäninema,남극야선,,,,,,,"자소크어, kitish·mänit·nema"
kitimurashitnatanie,남회귀선,,,,,,,"자소크어, kitish·muraf·shitnatanie"
kitish,"남, 남쪽",,,,,,,
koan,화해; 용서,용서하는,용서하다,,,,,
kokat,엉덩이,,,,,,,
kom,,오는,오다(來),,,,,
komkos,문장,,,,,,,선험
kon,곡물(穀物),,,,,,,
konäm,,가꾸는,가꾸다,,,,,
konätemp,,가꾸어 내는,가꾸어 내다,,,,,
konindrome,맥주(麥酒),,,,,,,"자소크어, kon·indrome"
konir,,"챙기는, 신경쓰는, 마음에 두는, 마음을 쓰는","챙김, 신경씀, 마음에 둠, 마음을 씀","유심히, 자세히",,,,
konivist,,챙겨주는,챙겨주다,,,,,
koros,끈적거림,끈적거리는,,,,,,
korso,"매니아, 오타쿠",,,,,,,
krif,제작,"만드는, 제작하는","만들다, 제작하다",,,,,
krifika,공학,,,,,,,
krifin,"만드는 사람, 창조자",,,,,,,
krifizash,,만들어 보는,만들어 보다,,,,,
kriprepos,,,만들어 두다,,,,,
krispika,인공어,,,,,,,
krispikakrif,"인공어 제작, 콘랭잉",,인공어를 만들다,,,,,"자소크어, krispika·krif"
kromad,,"없애는, 없어지게 하는","없애다, 없어지게 하다",,,,,
kromadùque,,"없어지는, 사라지는","없어지다, 사라지다",,,,,
krúckie,기체,,,,,,,
krút,공기,,,,,,,
la,,,,그 후에,그 다음,,,
laiv,라이브,"실제의, 눈 앞에서 펼쳐지는",라이브하다,,,,,"영어, live"
lalo,착각,,착각하다,,,,,"인명, 랄루"
lapegas,,"짙은, 농후한",,,,,,"한국어, 삼겹살"
